game_id,Date,tournament,speed,opening,color,rating,opponent_rating,game_ending,winner,analysis,accuracy,inaccuracy,mistake,blunder
j5DY43fW,07/20/2022,False,blitz,King's Indian Defense: Makogonov Variation,white,2016,1924,outoftime,black,,,,,
qCelhHNN,07/20/2022,False,blitz,Queen's Gambit Accepted: Old Variation,white,2016,1989,draw,,,,,,
0XxcehLZ,07/20/2022,False,blitz,Philidor Defense: Lion Variation,black,2021,2010,mate,white,,,,,
9p0YY5jb,07/20/2022,False,blitz,Slav Defense: Three Knights Variation,white,2026,2098,outoftime,black,,,,,
Gb5WfGQU,07/20/2022,False,blitz,Modern Defense: Standard Defense,black,2032,1984,resign,white,,,,,
FPtwUu6S,07/20/2022,False,blitz,Pirc Defense,black,2026,2075,outoftime,black,,,,,
YIsOfTUh,07/19/2022,False,blitz,"Queen's Gambit Declined: Modern Variation, Normal Line",white,2032,2025,resign,black,,,,,
FhU4Fqcb,07/19/2022,False,blitz,Queen's Gambit Accepted: Old Variation,white,2038,1987,mate,black,,,,,
7xgIujEu,07/19/2022,False,blitz,Modern Defense,black,2033,1992,resign,black,,,,,
h05avDP6,07/19/2022,False,blitz,Zukertort Opening: Pirc Invitation,black,2028,2015,outoftime,black,,,,,
754jugxQ,07/19/2022,False,blitz,Old Indian Defense,white,2028,2015,stalemate,,,,,,
BuRvQNSr,07/19/2022,False,blitz,"Queen's Gambit Declined: Modern Variation, Normal Line",white,2022,2028,resign,white,,,,,
jshDvwDy,07/19/2022,False,blitz,Pirc Defense,black,2028,2007,resign,white,33 75 29 12 0 41 26 29 -24 -15 -39 -12 -26 19 0 0 -31 -8 -19 151 160 159 77 107 -66 -16 -63 68 -71 108 76 165 138 174 -67 -61 -68 -76 -212 -47 -181 -199 -170 -93 -132 -145 -855 -123 -153 -128 -121 -58 -294 0 -212 -62 -73 0 -54 -43 -387 -70 -697 -5 0 746 753 751 763 796 746 813 817 ,120.0,4.0,3.0,7.0
lmrkwZcc,07/19/2022,False,blitz,English Defense,white,2028,2005,draw,,,,,,
CbCZrmhJ,07/19/2022,False,blitz,Modern Defense,black,2023,2039,resign,black,,,,,
3iYB7bWn,07/19/2022,False,blitz,Zukertort Opening: Kingside Fianchetto,black,2017,2036,resign,black,,,,,
yKRxAMbd,07/19/2022,False,blitz,Queen's Pawn Game,white,2012,1949,outoftime,white,,,,,
ZF7uL55e,07/19/2022,False,blitz,Pirc Defense,black,2006,2015,outoftime,black,,,,,
FLuZZdfQ,07/19/2022,False,blitz,Nimzo-Larsen Attack: Modern Variation,white,2000,2024,outoftime,white,,,,,
a4mmhzsw,07/19/2022,False,blitz,King's Indian Defense: Kramer Variation,white,2006,2012,resign,black,,,,,
jW8VspM9,07/19/2022,False,blitz,King's Indian Defense: Smyslov Variation,black,1999,2041,resign,black,,,,,
c4upPyeD,07/19/2022,False,blitz,King's Indian Defense: Four Pawns Attack,black,2005,2001,outoftime,white,,,,,
vDl35QqN,07/19/2022,False,blitz,Englund Gambit,white,2011,1995,resign,black,,,,,
rxeBbraz,07/19/2022,False,blitz,Pirc Defense,black,2005,2001,resign,black,,,,,
Y4fxtUVS,07/19/2022,False,blitz,Englund Gambit,white,2006,2001,draw,,,,,,
bGooY3C5,07/19/2022,False,blitz,Philidor Defense: Lion Variation,black,2011,1995,mate,white,,,,,
dF0QIRYG,07/19/2022,False,blitz,Modern Defense: Standard Defense,black,2006,2020,outoftime,black,,,,,
sJoJXzVW,07/19/2022,False,blitz,"Queen's Gambit Declined: Chigorin Defense, Exchange Variation",white,2011,1999,mate,black,,,,,
wdesU6b0,07/19/2022,False,blitz,Rat Defense: Harmonist,black,2006,2005,outoftime,black,,,,,
oQhPVvPE,07/19/2022,False,blitz,English Defense,white,2000,1985,resign,white,,,,,
eqLoQGyB,07/19/2022,False,blitz,Benoni Defense: Old Benoni,white,1996,1928,outoftime,white,,,,,
MjtRAxlH,07/19/2022,False,blitz,Modern Defense,black,1991,1956,outoftime,black,,,,,
h7WepB4N,07/19/2022,False,blitz,Queen's Gambit Declined: Three Knights Variation,white,1996,2014,mate,black,,,,,
3iHurDSu,07/19/2022,False,blitz,Englund Gambit Complex: Englund Gambit,white,2002,1988,mate,black,0 174 144 184 157 194 98 94 5 25 0 7 7 50 51 628 36 41 46 33 1 77 52 78 16 86 52 63 19 156 40 371 77 190 172 235 -274 -289 -315 -126 -305 -256 -259 -229 -562 -548 -623 -584 -819 -612 -672 -521 -1153 -1236 -1109 -1218 -1877 -1988 -2638 -1063 -1076 -1116 -1165 -915 -957 -975 -969 -985 -1000 -984 -1004 -1000 -1090 -1039 ,91.0,5.0,3.0,4.0
hflkyIF2,07/19/2022,False,blitz,"King's Indian Defense: Normal Variation, Rare Defenses",black,2008,1982,resign,white,,,,,
wcKZYjQW,07/19/2022,False,blitz,Queen's Gambit Accepted: Rosenthal Variation,white,2002,2025,resign,white,,,,,
CPHfh8Ei,07/19/2022,False,blitz,Modern Defense,black,2006,2105,resign,white,,,,,
RCGATA5q,07/19/2022,False,blitz,Pirc Defense,black,2000,2045,resign,black,,,,,
KOq77Wls,07/18/2022,False,blitz,Queen's Gambit Declined: Three Knights Variation,white,2006,1983,resign,black,,,,,
X1HMErP0,07/18/2022,False,blitz,King's Indian Defense: Makogonov Variation,white,2001,1950,resign,white,0 23 34 30 31 70 67 65 48 64 21 25 0 13 -66 -64 -79 45 53 74 -79 144 25 228 -115 0 -28 -11 -30 29 -10 10 -82 -62 -202 -48 -361 -186 -247 -117 -352 -186 -213 -204 -266 -224 -226 -106 -159 7 -62 249 -30 23 -282 48 -475 -264 -259 -38 -275 15 -3 644 678 763 547 764 793 995 991 ,98.0,4.0,3.0,7.0
HxMVPYAf,07/18/2022,False,blitz,English Opening: Great Snake Variation,black,1995,1985,resign,black,,,,,
QQ3azZfJ,07/18/2022,False,blitz,Slav Defense: Exchange Variation,white,1990,1991,outoftime,white,,,,,
zWbQs7g6,07/18/2022,False,blitz,Modern Defense: Mongredien Defense,black,1984,1978,resign,black,,,,,
rxFJgmL6,07/18/2022,False,blitz,Dutch Defense: Rubinstein Variation,white,1978,1976,resign,white,,,,,
ZhCDoQoN,07/18/2022,False,blitz,Rat Defense: Harmonist,black,1982,2131,resign,white,,,,,
NxD7Fd15,07/18/2022,False,blitz,Pirc Defense,black,1977,1940,timeout,black,,,,,
BmXt5QyV,07/18/2022,False,blitz,Queen's Gambit Declined,white,1972,1946,outoftime,white,,,,,
HT6r8qVU,07/18/2022,False,blitz,Pirc Defense,black,1978,1939,resign,white,,,,,
ukFHXb7y,07/18/2022,False,blitz,"Queen's Gambit Declined: Vienna Variation, Quiet Variation",white,1978,1939,draw,,,,,,
lFyJxf0F,07/18/2022,False,blitz,Pirc Defense,black,1979,1938,draw,,,,,,
zp5MiTkE,07/18/2022,False,blitz,Queen's Gambit Declined: Modern Variation,white,1974,1943,mate,white,,,,,
4KbF20VP,07/18/2022,False,blitz,Philidor Defense: Lion Variation,black,1969,1948,mate,black,,,,,
ZH2WWlje,07/18/2022,False,blitz,Queen's Gambit Declined: Vienna Variation,white,1963,1954,outoftime,white,,,,,
UXuSNfiK,07/18/2022,False,blitz,Modern Defense,black,1957,2005,resign,black,,,,,
vz3Qqazl,07/18/2022,False,blitz,Dutch Defense: Queen's Knight Variation,white,1964,1882,outoftime,black,,,,,
6ufD1qzC,07/17/2022,False,blitz,Modern Defense,black,1969,1969,mate,white,,,,,
X280mSpA,07/17/2022,False,blitz,Benko Gambit: Zaitsev System,white,1974,2012,resign,black,,,,,
4KA6ZLU3,07/17/2022,False,blitz,"Queen's Gambit Declined: Modern Variation, Normal Line",white,1980,1989,resign,black,,,,,
U9wJo9fI,07/17/2022,False,blitz,Polish Opening,black,1985,2011,resign,white,,,,,
s5mQOHUs,07/17/2022,False,blitz,Owen Defense,black,1991,2003,resign,white,,,,,
1Su5PPDF,07/17/2022,False,blitz,Nimzo-Larsen Attack: Modern Variation,white,1985,1961,outoftime,white,,,,,
GYifkYpx,07/17/2022,False,blitz,Pirc Defense,black,1991,2001,mate,white,,,,,
n6dVBT4l,07/17/2022,False,blitz,Bogo-Indian Defense: Exchange Variation,white,1986,1966,outoftime,white,,,,,
ke5ecmLl,07/17/2022,False,blitz,Pirc Defense,black,1980,1978,resign,black,,,,,
Z4cmYGHA,07/17/2022,False,blitz,Nimzo-Larsen Attack: Indian Variation,white,1986,1975,mate,black,,,,,
a70xtN1H,07/17/2022,False,blitz,"King's Indian Defense: Normal Variation, Rare Defenses",black,1980,2012,resign,black,,,,,
J5rtpwAw,07/17/2022,False,blitz,"King's Indian Defense: Orthodox Variation, Positional Defense, Closed Line",black,1986,1958,outoftime,white,,,,,
py0OxR72,07/17/2022,False,blitz,Queen's Gambit Declined,white,1979,2014,mate,white,,,,,
WIRnhesB,07/17/2022,False,blitz,Queen's Gambit Declined: Cambridge Springs Defense,white,1985,1984,resign,black,,,,,
IobVKdHQ,07/17/2022,False,blitz,Pirc Defense,black,1990,2038,resign,white,,,,,
hOujIWK4,07/17/2022,False,blitz,Nimzo-Larsen Attack: Dutch Variation,white,1984,1991,outoftime,white,,,,,
rFM7yRW9,07/17/2022,False,blitz,Modern Defense,black,1978,1998,outoftime,black,,,,,
G89AyAhp,07/17/2022,False,blitz,Pirc Defense,black,1984,1978,outoftime,white,,,,,
2IeiCFk4,07/17/2022,False,blitz,Queen's Pawn Game,white,1979,1945,outoftime,white,,,,,
KiwSYt67,07/17/2022,False,blitz,Mieses Opening,black,1985,1937,outoftime,white,,,,,
51EloCvV,07/17/2022,False,blitz,Queen's Gambit Declined: Austrian Defense,white,1980,1953,resign,white,,,,,
yeW9S2pX,07/17/2022,False,blitz,Pirc Defense: Classical Variation,black,1986,1949,mate,white,,,,,
9NNvgVWR,07/17/2022,False,blitz,Queen's Gambit Accepted: Old Variation,white,1993,1937,outoftime,black,,,,,
HcydOM6j,07/17/2022,False,blitz,Dutch Defense: Classical Variation,white,1989,1863,outoftime,white,,,,,
2QlXI3qJ,07/17/2022,False,blitz,English Opening: Great Snake Variation,black,1995,2004,resign,white,23 44 -51 -20 -44 13 -29 -22 -27 98 83 100 97 113 78 100 88 168 99 92 76 91 93 170 156 160 154 209 252 288 219 216 217 270 272 295 189 206 182 196 124 267 141 138 82 143 125 155 87 120 103 321 325 603 370 404 205 146 139 834 914 1055 904 1066 1117 1336 1290 ,71.0,4.0,3.0,2.0
1J2krm4F,07/17/2022,False,blitz,Queen's Gambit Declined,white,1990,1940,resign,white,,,,,
f2XpODGK,07/16/2022,False,blitz,"King's Indian Defense: Normal Variation, Rare Defenses",black,1984,1998,resign,black,,,,,
CGo0mUH3,07/16/2022,False,blitz,Modern Defense,black,1989,2056,outoftime,white,,,,,
02Ebmo8t,07/16/2022,False,blitz,Old Indian Defense,white,1993,2052,resign,black,,,,,
lnEgXtWS,07/16/2022,False,blitz,Queen's Gambit Accepted: Old Variation,white,1988,1987,resign,white,,,,,
4hNnE8Vc,07/16/2022,False,blitz,Bird Opening,black,1982,2000,outoftime,black,,,,,
JLIpkVij,07/16/2022,False,blitz,Rat Defense: Harmonist,black,1988,1975,resign,white,,,,,
f1zaFiju,07/16/2022,False,blitz,Dutch Defense,white,1982,1981,mate,white,,,,,
UD4FJFvS,07/16/2022,False,blitz,Queen's Pawn Game,black,1988,1986,resign,white,,,,,
cn9um820,07/16/2022,False,blitz,Nimzo-Larsen Attack,white,1981,2042,resign,white,,,,,
KBlHdl1u,07/16/2022,False,blitz,"King's Indian Defense: Normal Variation, Rare Defenses",black,1987,1949,resign,white,,,,,
QjURAUiZ,07/16/2022,False,blitz,"Queen's Gambit Declined: Tarrasch Defense, Pseudo-Tarrasch",white,1982,1954,mate,white,,,,,
IxGV6fEu,07/16/2022,False,blitz,Mieses Opening,black,1988,1948,resign,white,,,,,
OlsHpkvL,07/16/2022,False,blitz,Philidor Defense: Lion Variation,black,1994,1971,resign,white,,,,,
kiDJtxQQ,07/16/2022,False,blitz,Philidor Defense: Lion Variation,black,2000,1992,resign,white,,,,,
Y8vN3xT4,07/16/2022,False,blitz,Queen's Gambit Declined: Austrian Defense,white,1996,1900,outoftime,white,,,,,
8KEMCPTi,07/16/2022,False,blitz,Queen's Indian Accelerated,white,2003,1941,resign,black,,,,,
Cvf3vCqC,07/16/2022,False,blitz,Bogo-Indian Defense: Nimzowitsch Variation,white,2008,2013,resign,black,,,,,
KyyFgXJw,07/16/2022,False,blitz,Modern Defense,black,2002,2050,mate,black,,,,,
WJxtoGe6,07/16/2022,False,blitz,Pirc Defense,black,1996,2004,resign,black,,,,,
IZk3o5pt,07/16/2022,False,blitz,Benoni Defense: Pawn Storm Variation,white,1991,1959,resign,white,,,,,
lwuc56wi,07/15/2022,False,blitz,Rat Defense: Harmonist,black,1997,1940,resign,white,,,,,
t5JvNTJI,07/15/2022,False,blitz,"Queen's Gambit Declined: Neo-Orthodox Variation, Main Line",white,1992,1997,resign,white,,,,,
oTor7jcw,07/15/2022,False,blitz,Indian Defense: Budapest Defense,white,1997,2034,resign,black,,,,,
hwXnHY1c,07/15/2022,False,blitz,Pirc Defense,black,2002,2030,resign,white,,,,,
17QnnvpS,07/15/2022,False,blitz,Queen's Gambit Declined,white,2007,2024,resign,black,,,,,
S5R3YBww,07/15/2022,False,blitz,Modern Defense: Three Pawns Attack,black,2002,1996,resign,black,,,,,
odpc0Ncp,07/15/2022,False,blitz,Philidor Defense: Lion Variation,black,2008,1995,resign,white,,,,,
RjXxTurL,07/14/2022,False,blitz,Pirc Defense,black,2002,1995,resign,black,,,,,
pdUgWBQU,07/14/2022,False,blitz,Queen's Gambit Declined: Austrian Defense,white,1997,1978,resign,white,,,,,
Yky2DOVp,07/14/2022,False,blitz,Zukertort Opening,black,1992,1464,outoftime,white,,,,,
2odGf0Cp,07/14/2022,False,blitz,Dutch Defense: Normal Variation,white,1992,1965,mate,white,,,,,
d2baeggu,07/14/2022,False,blitz,King's Indian Defense: Sämisch Variation,black,1985,2015,mate,black,0 68 25 60 50 70 67 65 25 63 8 0 4 31 41 45 -58 -31 -29 -50 -259 -215 -171 -135 -745 -92 -193 112 -563 -548 -661 -640 -654 -685 -775 -757 -776 -612 -623 -563 -700 -712 -770 -798 -771 -771 -805 -809 -1508 -1024 -1582 -1845 -1563 ,51.0,1.0,0.0,2.0
OkBfyEkA,07/14/2022,False,blitz,Pirc Defense,black,1980,1960,resign,black,33 75 40 63 32 55 37 32 -17 87 25 55 63 98 122 241 222 246 178 306 83 272 82 96 93 169 80 113 76 113 77 87 48 51 42 164 79 96 127 90 0 -12 -28 -69 -11 0 -449 -450 -445 -487 -507 -487 -493 -497 -529 -509 -505 -487 -768 -774 -864 -890 ,33.0,4.0,1.0,1.0
THNZSxxm,07/14/2022,False,blitz,Polish Opening: King's Indian Variation,black,1974,1988,resign,black,,,,,
xCQsK1fj,07/14/2022,False,blitz,Dutch Defense: Queen's Knight Variation,white,1969,1962,outoftime,white,,,,,
yKVOOZTi,07/14/2022,False,blitz,Modern Defense: Three Pawns Attack,black,1975,1935,timeout,white,,,,,
eC5wkPdh,07/14/2022,False,blitz,Queen's Gambit Declined: Queen's Knight Variation,white,1970,1941,resign,white,,,,,
WQr3wsx8,07/14/2022,False,blitz,Pirc Defense: Classical Variation,black,1965,1896,resign,black,,,,,
db8Osw06,07/14/2022,False,blitz,Slav Defense,white,1970,1989,resign,black,,,,,
kvSivlcf,07/14/2022,False,blitz,King's Indian Defense: Kramer Variation,white,1977,1949,resign,black,,,,,
zM8HOhSx,07/14/2022,False,blitz,Russian Game: Modern Attack,black,1983,1968,resign,white,,,,,
HVah8gKa,07/14/2022,False,blitz,"Lion Defense: Anti-Philidor, Lion's Cave",black,1989,1969,outoftime,white,,,,,
ZPg14EBs,07/14/2022,False,blitz,Queen's Gambit Declined: Queen's Knight Variation,white,1983,1983,outoftime,white,,,,,
SuK5e70j,07/14/2022,False,blitz,English Defense,white,1977,1956,outoftime,white,,,,,
1jkbz60Z,07/14/2022,False,blitz,Pirc Defense: Classical Variation,black,1984,1949,outoftime,white,,,,,
stZKoC5r,07/14/2022,False,blitz,Englund Gambit Complex: Englund Gambit,white,1989,1989,resign,black,,,,,
ntnL0zaR,07/14/2022,False,blitz,Modern Defense,black,1983,2052,resign,black,,,,,
TV3dmNR6,07/14/2022,False,blitz,Benoni Defense: Old Benoni,white,1988,1980,mate,black,,,,,
U1FeFb4H,07/13/2022,False,blitz,Slav Defense: Exchange Variation,white,1994,1986,mate,black,0 50 13 30 13 19 15 21 0 37 17 36 50 65 56 64 30 50 37 30 47 20 20 88 21 82 22 12 14 -16 0 -6 -92 -95 -114 -11 -2 4 -8 3 -21 19 0 0 -5 27 0 29 36 57 25 55 -62 6 -72 0 -116 -160 -169 -151 -277 -324 -330 -325 -872 -858 -871 -829 -878 -911 -889 -911 -934 -879 -1137 -1071 -1196 -1298 -1706 ,36.0,6.0,2.0,1.0
Rc2w85P7,07/13/2022,False,blitz,Modern Defense: Standard Line,black,1989,1941,outoftime,black,,,,,
Nnyt26d8,07/13/2022,False,blitz,Modern Defense,black,1995,2022,outoftime,white,33 71 68 73 61 68 51 60 28 125 83 88 20 40 0 7 12 195 273 263 282 292 253 325 345 351 359 355 353 365 345 404 349 400 363 380 382 424 458 471 459 478 480 566 540 663 681 710 710 748 776 739 724 738 674 682 688 774 773 789 541 571 550 532 575 565 467 549 541 571 590 773 536 655 664 678 691 658 652 714 665 831 675 728 694 755 821 879 699 782 704 665 671 706 680 704 766 675 -302 801 789 7370 825 959 934 948 949 1007 913 987 793 791 782 642 625 617 671 1018 873 5870 ,69.0,4.0,1.0,2.0
MgCXLxnw,07/13/2022,False,blitz,"Queen's Gambit Declined: Neo-Orthodox Variation, Main Line",white,2000,1991,outoftime,black,,,,,
o0u9z2WH,07/13/2022,False,blitz,Pirc Defense: Roscher Gambit,black,2007,1958,outoftime,white,,,,,
AhDx9W4n,07/13/2022,False,blitz,Queen's Gambit Accepted: Old Variation,white,2013,2010,outoftime,black,,,,,
8aXdU3bY,07/13/2022,False,blitz,Modern Defense: Pseudo-Austrian Attack,black,2017,2079,resign,white,,,,,
RQn2CyB6,07/13/2022,False,blitz,Pirc Defense: Roscher Gambit,black,2013,1916,mate,black,,,,,
Yl1zt5BZ,07/13/2022,False,blitz,Horwitz Defense,white,2013,2025,draw,,,,,,
